Id,Name,Ratings,Addres,Coordinate,Lat,Long,Images
36,Labak Sari Restaurant,4.7,"Jl. Tirta Tawar, Br. Abangan, 80571, Ubud 80571, Ubud, Tegallalang, Gianyar Regency, Bali 80571","-8.468291108963264, 115.2698540195125",-8.468291109,115.269854,https://media-cdn.tripadvisor.com/media/photo-s/10/c1/a9/86/labak-sari-restaurant.jpg
37,Milu By Nook,4.6,"Jl. Pantai Berawa No. 90 XO, Canggu, Kuta, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361","-8.660532041266297, 115.1440872666986",-8.660532041,115.1440873,https://www.balirealtyhv.com/wp-content/uploads/2019/06/Milu-By-Nook-1-@s__venton.jpg
38,Bebek Tepi Sawah Nusa Dua,4.2,"Kawasan BTDC Area Bali Collection, Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363","-8.801765193374182, 115.23235505752193",-8.801765193,115.2323551,https://b.zmtcdn.com/data/pictures/1/1701431/b33edbe7ba9809c279c10b7109716ace.jpg
39,Warung Makan Teges,4.5,"Jalan Cok Rai Pudak,Peliatan,Ubud,Kabupaten Gianyar,Bali 80571, Peliatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","-8.526278414295026, 115.27118569599446",-8.526278414,115.2711857,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1560500866/lj0mnqlgoxlbgiuvcb0p.jpg"
40,Warung Pojok,4.4,"Jl. Nangka No.168, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234","-8.640817454570074, 115.22200632879834",-8.640817455,115.2220063,https://media-cdn.tripadvisor.com/media/photo-s/13/a9/29/65/photo2jpg.jpg
41,IBAB BALI,4.4,"Jl. Dewi Sri No.88xx, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361","-8.702863242539816, 115.17620075518832",-8.702863243,115.1762008,"https://ik.imagekit.io/tvlk/cul-asset/C8Kj5-dCnE75BMxGpYYdcJVuEQbV3CnmF8ONfpQKM2n9jzSxIGG5kZNhhHY-p7nw/v2/culinary-asset/guys1L+Yyer9kzI3sp/pb0CG1j2bhflZGFUZOoIf1YMmzMd/HaD8U/YhZI+EvjMM+6RmcSU0aUVNGx3wRqN5pPQWR89+hUC99Ch6wW6TW0tLs5Bo9ErDvWLHdj3iP55ClcqSmQX080Ih6Jp9TZH3E1CBNbJjDvtQTfUwDAa8KVE=?tr=q-40,c-at_max,w-1080,h-1920&_src=imagekit"
42,Gosha Kitchen & Patisserie Renon,4.6,"Jl. Tukad Gangga No.28, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80234","-8.677111393964033, 115.22803672201465",-8.677111394,115.2280367,https://www.denpasarkota.go.id/uploads/berita/berita_190312041224_RestoranGoshaKitchen.jpg
43,Warung Enak,4.7,"Jl. Mataram No.30, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361","-8.715548121547565, 115.17667540257897",-8.715548122,115.1766754,https://3.bp.blogspot.com/-3GP1Sc67nMo/Wh40pR72lDI/AAAAAAAAD3g/-QGq-g3zDf05RusP-5XFzP5KxhoQoBeRgCLcBGAs/s1600/Warung-Makan-Nikmat-Kuta-Bali.jpg
44,Kedaton,4.6,"Jalan Raya Pengosekan Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","-8.520538012472489, 115.26269188836937",-8.520538012,115.2626919,https://asset.kompas.com/crops/nwZNYUu9kTCivjQSFqkL_TmYv34=/0x0:1000x667/750x500/data/photo/2020/08/17/5f3a219107901.jpg
45,Laka Leke Restaurant,4.5,"Jl. Nyuh Bojog No.32, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571","-8.520220791093829, 115.25746925109482",-8.520220791,115.2574693,https://www.kintamani.id/wp-content/uploads/Laka-Leke-Hideaway-Restaurant-Ubud-1.jpg
46,Babi Guling Sari Kembar 99,4.4,"Jalan Teuku Umar Barat No. 99 Denpasar Barat Kerobokan Kelod Denpasar, Kerobokan Kelod, Kabupaten Badung, Bali 80119","-8.673636578392605, 115.17881751541435",-8.673636578,115.1788175,https://media-cdn.tripadvisor.com/media/photo-s/13/5d/e7/41/photo0jpg.jpg
47,Warung Laota Sunset Road,4.4,"Jl. Sunset Road No.88, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361","-8.702914083454488, 115.18080470002093",-8.702914083,115.1808047,https://media-cdn.tripadvisor.com/media/photo-s/0e/5b/0c/8c/warung-laota-sunset-road.jpg
48,Warung Subak,4.5,"Jalan Astasura No. 5 Peguyangan, Peguyangan Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80115","-8.611460571566512, 115.21879027193155",-8.611460572,115.2187903,https://youimg1.tripcdn.com/target/100d0a00000051tu328CF_C_750_350_R5.jpg
49,Sate Babi Bawah Pohon,4.5,"Jalan Dewi Sri IV Campuhan I No.I, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361","-8.701981982421767, 115.17541392256643",-8.701981982,115.1754139,https://www.pegipegi.com/travel/wp-content/uploads/2017/05/FullSizeRender-9.jpg
50,Warung Nasi Pecel Bu Tinuk Restaurant,4.2,"758H+P39, Jalan Raya, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361","-8.733225861264891, 115.17774183558225",-8.733225861,115.1777418,https://media-cdn.tripadvisor.com/media/photo-s/11/2d/90/97/photo5jpg.jpg
